A=440,Cb,C,C#,Db,D,Eb,E,F,F#,Gb,G,Ab,A,Bb,B
Cb,247.5,,,,,,,,,250.3111,,,,,
C,,264,,275,,264,,264,,,264,264,,267.3,
C#,,,281.6,,278.4375,,275,,278.4375,,,,275,,278.4375
Db,278.4375,,,293.3333,,,,,,281.6,,281.6,,,
D,,297,,,297,297,,293.3333,,,297,,293.3333,297,
D#,,,316.8,,,,309.375,,309.375,,,,,,309.375
Eb,309.375,,,330,,316.8,,,,312.8889,,316.8,,316.8,
E,,330,,,334.125,,330,330,,,330,,330,,330
E#,,,352,,,,,,348.0469,,,,,,
Fb,330,,,,,,,,,,,,,,
F,,352,,366.6667,,356.4,,352,,352,,352,,356.4,
F#,,,375.4667,,371.25,,371.25,,371.25,,371.25,,366.6667,,371.25
Gb,371.25,,,391.1111,,,,,,375.4667,,,,,
G,,396,,,396,396,,396,,,396,396,,396,
G#,,,422.4,,,,412.5,,417.6563,,,,412.5,,412.5
Ab,412.5,,,440,,422.4,,,,422.4,,422.4,,,
A,,440,,,445.5,,440,440,,,445.5,,440,445.5,
A#,,,469.3333,,,,,,464.0625,,,,,,464.0625
Bb,464.0625,,,488.8889,,475.2,,469.3333,,469.3333,,475.2,,475.2,
B,,495,,,495,,495,,495,,495,,495,,495
B#,,,528,,,,,,,,,,,,
